Sample	Group
TM_M2012_010	1
TM_M2012_011	1
TM_M2012_012	1
TM_M2012_018	1
TM_M2012_019	1
TM_M2012_020	1
TM_M2012_028	1
TM_M2012_030	1
TM_M2012_031	1
TM_M2012_039	1
TM_M2012_040	1
TM_M2012_041	1
TM_M2012_047	2
TM_M2012_048	2
TM_M2012_050	2
TM_M2012_058	1
TM_M2012_059	1
TM_M2012_060	1
TM_M2012_066	2
TM_M2012_067	2
TM_M2012_068	2
TM_M2012_075	2
TM_M2012_076	2
TM_M2012_078	2
TM_M2012_081	2
TM_M2012_082	2
TM_M2012_086	2
TM_M2012_092	2
TM_M2012_093	2
TM_M2012_094	2
TM_M2012_102	2
TM_M2012_103	2
TM_M2012_104	2
TM_M2012_110	1
TM_M2012_112	1
TM_M2012_113	1
TM_M2012_121	2
TM_M2012_122	2
TM_M2012_123	2
TM_M2012_127	1
TM_M2012_128	1
TM_M2012_129	1
TM_M2012_130	2
TM_M2012_134	2
TM_M2012_135	2
TM_M2012_138	1
TM_M2012_140	1
TM_M2012_141	1
TM_M2012_144	2
TM_M2012_148	2
TM_M2012_149	2
TM_M2012_154	1
TM_M2012_155	1
TM_M2012_156	1
TM_M2012_162	2
TM_M2012_163	2
TM_M2012_164	2
TM_M2012_168	2
TM_M2012_169	2
TM_M2012_170	2
TM_M2012_175	2
TM_M2012_176	2
TM_M2012_177	2
TM_M2012_178	2
TM_M2012_182	2
TM_M2012_183	2
TM_M2012_186	1
TM_M2012_188	1
TM_M2012_189	1
TM_M2012_196	2
TM_M2012_197	2
TM_M2012_198	2
