,Protein,Group1Mean,Group2Mean,Log2FoldChange1-2,PValues1-2,Group1RepCounts,Group2RepCounts,CorrectedPValue,TM_M2012_010,TM_M2012_011,TM_M2012_012,TM_M2012_018,TM_M2012_019,TM_M2012_020,TM_M2012_028,TM_M2012_030,TM_M2012_031,TM_M2012_039,TM_M2012_040,TM_M2012_041,TM_M2012_047,TM_M2012_048,TM_M2012_050,TM_M2012_058,TM_M2012_059,TM_M2012_060,TM_M2012_066,TM_M2012_067,TM_M2012_068,TM_M2012_075,TM_M2012_076,TM_M2012_078,TM_M2012_081,TM_M2012_082,TM_M2012_086,TM_M2012_092,TM_M2012_093,TM_M2012_094,TM_M2012_102,TM_M2012_103,TM_M2012_104,TM_M2012_110,TM_M2012_112,TM_M2012_113,TM_M2012_121,TM_M2012_122,TM_M2012_123,TM_M2012_127,TM_M2012_128,TM_M2012_129,TM_M2012_130,TM_M2012_134,TM_M2012_135,TM_M2012_138,TM_M2012_140,TM_M2012_141,TM_M2012_144,TM_M2012_148,TM_M2012_149,TM_M2012_154,TM_M2012_155,TM_M2012_156,TM_M2012_162,TM_M2012_163,TM_M2012_164,TM_M2012_168,TM_M2012_169,TM_M2012_170,TM_M2012_175,TM_M2012_176,TM_M2012_177,TM_M2012_178,TM_M2012_182,TM_M2012_183,TM_M2012_186,TM_M2012_188,TM_M2012_189,TM_M2012_196,TM_M2012_197,TM_M2012_198
0,P06396,21.288717461824582,21.22670752884522,0.06200993297936108,0.6948612007887637,30,42,0.7214471945580728,21.69060297051166,20.691873103436677,20.766266566579006,21.5694633377213,21.35696618764855,21.321476127770527,21.741532827910817,21.71398130013388,21.56751996984546,21.28732950007163,20.92749494451736,20.899867538339066,21.816046337899593,21.5399920670394,21.133862987980912,20.40017749321086,20.33749700205017,20.108114379431502,21.06901275239661,21.302381708837537,21.270230716537462,20.730925533032785,20.63486310849821,20.394759909452368,20.825666868808828,20.880827813456968,20.859600592584897,20.58218335079337,20.457042939345786,20.445269335428893,21.074951677367952,20.828291031307092,20.895682503063302,21.733141441688293,21.2948927830422,21.16255743026865,21.64451031183742,21.425656254317786,21.242490322330635,20.791321848279157,20.90436852701461,20.970003085915092,21.101087990911402,21.056389466097432,21.288005786108045,22.352002288920705,22.132295546491797,22.42674254824468,21.98353121803712,21.766191336369296,21.78305614703175,21.55058299266346,21.54563117347289,21.77386902906285,21.49768809412474,20.943317705334106,20.95741811337875,20.934531331441708,20.928801077060882,21.20076498431928,20.353412783766192,20.284695118098718,20.419413499173793,21.0289367545262,21.542063543014383,21.509333278557467,21.198022113208356,21.245510692382034,21.200419104904142,23.029392507450993,23.389133593274742,23.470303761104446
1,P10643,21.51617297765032,21.613421927105694,-0.09724894945537343,0.5035598393504255,30,42,0.6253050681467368,21.677649127640127,21.19034863912694,21.508697783853318,21.641311902644315,21.556425327451283,21.68553056341583,20.506994707960594,20.595756409002448,20.659545589801272,20.61615725823554,20.64116110181378,21.067067551781033,21.590625123109714,21.401722840166727,21.236355718633313,21.221983659737337,21.81017500174846,21.815682712748423,23.399953472136474,23.056666289171574,23.07479905355715,20.83577373755181,20.97074296970804,20.9299433027525,21.738357609889558,21.320727497043553,21.171404158867038,21.66989634954831,21.737060391627324,21.38862098191012,21.60947770500497,21.641280362573145,21.5682258216136,23.057431590671975,23.181460530095723,23.023585056379783,21.98965413136751,21.784936326546454,21.807144102433725,21.596042013775957,21.596841157500346,21.622282103491276,22.075534275607385,21.69607323232223,21.736327480583867,21.488850555388208,21.18444262735671,21.81971017250065,21.701117464664858,21.786203108456473,22.178008324004736,21.56507312378157,21.712588501673498,21.68306651848096,20.76888884764135,20.730891227231872,21.081118465899205,21.230215206669133,21.41524027648675,21.38537494650949,21.724552167678464,21.655791569375534,21.893202613058257,21.188013534587068,21.371173189617988,21.43614526279234,21.35640890191147,21.040272099143763,21.362647040397025,21.33187529328948,21.524378079670736,21.93022842707922
2,P03952,20.93622891970299,20.61249821897928,0.32373070072371135,0.04576665061423413,30,42,0.14930431921692774,21.023476873654047,20.77003633892909,21.087098586609923,21.353980073366365,21.07266574640821,20.938081180458788,21.19611032220115,20.93625192941948,20.581928407294225,20.795623534542617,20.495517765583006,20.337590669109506,20.705400708340573,20.650240666473536,20.129429720821935,20.107969486426914,19.73643905771319,19.3973631271513,20.189270433143324,20.566924855671306,20.716277151914962,19.943535857131856,19.996227809117094,20.147739321090263,20.193033951523883,20.384633299025644,20.275421914599455,20.506495579540584,20.266917089402494,20.201988619916758,21.448109266665142,21.05214068276626,20.68736076955948,20.537370762981418,20.371669296687138,20.4438334881863,21.13168422924426,20.722773521490634,20.158229468164265,21.087257395441146,21.08215255941863,20.972816405874987,19.738022190487072,19.428181137255457,19.653606263005948,22.05638717823141,21.471123867295155,21.687361207717647,21.142612843229266,20.917287211496106,21.081147076229904,21.60379508580221,21.995714899932974,21.783632644295334,20.813383652762898,20.127058364819824,20.473009585278252,20.508617446610188,20.38404231278265,20.600456471955155,20.11836631551621,20.01711452383461,20.50559885587405,20.608386824393975,20.970956893803013,20.752389393692035,21.042518269508413,20.957228513277215,21.163872917571926,22.33277203880314,22.704703560403935,22.773377319292365
3,P02750,23.510572596283804,23.954317767499873,-0.4437451712160687,0.0033618409285171395,30,42,0.023419938012046226,22.80761025486333,23.269825633740567,23.984675332282027,22.832058820603258,23.335002980603655,23.68246181965017,22.809689736371084,23.227675625718707,23.454014569608034,23.868218339990214,23.793590582822862,23.861547158333533,24.6284243486767,24.399070595062337,24.194885011786972,24.11684625799812,24.304810384928942,24.15045422280676,22.315494289769973,22.207082184976013,22.18301587222887,25.059420155280748,25.04329058859342,24.984944555653765,23.930350192262214,23.585977214597737,23.56347345608381,24.25734013760034,24.155099034017297,23.623726457429353,23.947750269710195,23.76942757075151,23.909246730914962,23.750886859205014,23.875282265322134,23.95259507804065,24.034315977450934,23.889497095690547,23.686674921703883,24.022357512918564,24.27024837233658,24.15240392027434,24.01071743415739,23.75650168794102,23.697853387265578,23.18050575780859,22.22933290632577,22.254974368737944,23.673380822236414,23.974222303170507,24.19875890123265,23.59309231542122,23.594818190433116,23.494280599369507,24.05383237876583,23.592094667875234,24.207807417319692,24.26129240335975,24.317377746396733,24.10466651654554,23.36463590031821,23.632619897328606,23.78498136433011,24.566548422014595,24.806581140865497,24.78761273080006,22.859749691586753,22.90188134717374,23.68628698323896,24.10383982556164,23.764546757963313,24.052967869304688
4,Q04756,19.58691985284601,18.838137105878726,0.748782746967283,7.184669942654828e-05,30,41,0.001191457765490259,19.65797172387734,19.115191234734965,19.54536482287473,20.111665678822856,19.639341578315754,19.379407288330786,20.086985951925158,19.827435302959792,19.792097738709472,19.526369144452364,18.913539044999148,19.09822359143666,19.44543072566093,19.08546843705922,18.69416665148686,18.533092467526814,18.919615927874336,18.078698786443,,18.824939312383975,18.032501814562146,17.999386327505466,18.265832777494673,18.140637944014514,17.171376491003713,18.78090089375305,18.742190073116095,18.23379345752192,18.22950959460421,18.294671244419348,19.34390952816448,19.30397178747674,19.577521213222397,19.61171528142059,19.267612661107385,19.171806230193166,19.350535469654172,18.875511138844892,18.475997770490668,19.83388186888919,19.713137827023157,19.797824021901913,18.690603498482293,17.86254522272675,17.59595572192396,21.51463451394337,20.820172439302926,21.469525084719773,19.60877448151125,19.669058030421024,19.644445582336505,19.80548568659136,19.789588895005977,19.647798528353484,18.626311845705096,18.351812815926017,18.551003148468908,19.065253678958992,18.92999968819807,19.184591486198503,18.684418604552377,18.737194242789723,18.220235194790924,18.721892845811762,18.931209334825354,18.9732535070071,19.29681119711614,18.60828841610896,19.03431265041976,20.70852302928459,20.28361611411889,20.454670614550217
5,P19823,22.47172317589246,21.567823274834932,0.9038999010575282,4.177677140473402e-06,30,42,0.00014671019134486005,22.636127928948042,22.146755303653265,22.381833184182344,22.88716937617243,22.42973345363925,22.102695395368816,22.85911550621408,22.674786344972965,22.388901222626302,22.923984072070024,22.549815625058446,22.181363957822303,21.94115729486897,21.694251937111346,21.38457710585611,21.672250573533947,21.423575397271517,20.898403292554566,20.677039407116933,21.233085527757698,21.492518695789755,21.366791417575524,21.207048377883552,21.25569800944142,21.23752422643176,21.52789010470791,21.387408744182704,21.570883568960383,21.206209797247794,20.912477425262168,22.445302157947648,21.79711737122081,21.260673279557714,22.686241612204412,22.278808931345278,22.420326141653998,22.964595793462035,22.402584454057862,21.74766558425548,22.18706531092359,22.329936529833454,22.24730143431598,20.196408959210366,19.862352651640812,20.015155406249573,23.6433932138928,23.32913173010247,23.983991901264318,22.391725196085115,22.292896774347074,22.55932623094997,22.570712055735292,22.79361770757511,22.769319698844065,21.73598929996106,21.102515229443615,21.3555331371735,20.654641218127992,20.409638302446044,20.88908096723855,20.8644853787698,20.989991867047923,21.2174386534559,21.91316417166132,22.378541470715778,22.399520625351943,22.204786537525433,22.10179510016996,22.448756737299423,22.727357053202862,23.51561969972719,23.664694969565215
6,P05156,21.22187203687634,21.190869441068035,0.031002595808306666,0.803474334819053,30,42,0.7666169146632617,21.10869470464353,21.088652775693788,21.26900742916945,21.66698808575601,21.367165141657438,21.30346338411913,20.58788943277548,20.457634856595202,20.424282673090328,20.93359688479338,20.690511782443792,20.642454121359258,21.25916462074198,21.291789161251693,20.99390988180803,20.829681030110034,21.042593444297278,20.815369837414124,20.669255255725485,20.55509121350823,20.598637727227157,21.22138286840451,21.232568222539395,21.21136449474001,21.293544057222658,21.272951797592896,20.765018268750538,21.524394617061947,21.580648316178635,21.575293177494213,19.638577499342016,19.614700323817537,19.627781597403327,21.138837829335493,21.030303579242815,21.264580122268686,21.295137427082846,21.00045537238425,20.641363273388297,21.58440624148621,21.604747848900434,21.55827795772572,21.098399903898162,20.861605795429377,21.13025837798354,21.787908042644467,21.487244673204682,21.3650847894334,21.26503404964752,21.252990636853696,21.50936624246611,21.370408658781788,21.94398372197814,21.858228143764862,21.92226391469608,21.394621264204115,21.824848577256766,21.1148997991379,21.180216921267835,21.422087082096514,21.262651660484504,21.37761308732021,21.841699542209852,21.309273224338007,21.706094207696427,21.81441935829009,21.500621922623292,21.295329921239034,21.638212069743,21.471728300100047,22.189959838990738,22.203455566824488
7,P61626,19.969889417852873,20.903723271192412,-0.9338338533395394,2.6085366448065426e-07,30,42,2.2785513574570146e-05,19.61399028715872,18.837639977827195,18.785831191580346,18.782404757411225,18.97554955855422,18.89227061260723,20.59918766462352,20.6307407729861,20.441187521732935,18.94061178021798,18.785816229935683,19.06319264542569,21.406098853752997,21.560055140923474,21.388717864425914,19.918383828189857,20.140573622926315,19.899314884340125,20.497096842038474,20.270287635437786,20.297187963963676,20.749587633821317,20.71895221506505,20.74577607231082,20.82440321847102,20.625501460234283,20.495719598675354,20.910852308104086,20.509764800111803,20.574295572362185,20.74133454770975,20.169119554098216,20.394580378257743,20.562151196431664,20.57500208369218,20.810789034093336,21.20203841806075,20.97773716785454,20.95186953362621,19.421477616220834,19.237966320414326,19.552686230758393,20.905145103721136,20.728178306762814,20.886988436331755,21.650777891834363,21.112123934988492,21.447317592872984,21.332506552146306,21.05223029362273,21.281451117544474,20.705137902917883,21.015420570482846,20.92995551523244,20.744708815547053,19.758365051553263,20.54583549704995,21.85001109000628,21.458329842968073,21.304018647349455,21.344426356063416,20.895648252434317,21.50574853108843,20.61774795972112,20.331896858750937,20.14790805819663,20.020272553222792,19.8542392815301,19.894669475376443,21.83886220237844,22.209337655489463,21.206055982049875
8,P00738,25.664177554151458,25.73069791469772,-0.06652036054626365,0.7011533461858617,30,42,0.7229912112436392,25.215333369678113,25.531056549554194,26.071010147679026,26.275950199131653,25.620064481388155,25.688854273876448,25.867907258872897,25.679241631774325,25.824615828045374,25.556299372351347,25.625489136625365,25.84968386659964,25.70102778257945,25.361819054700774,25.31050329235352,25.907224263183778,26.153337017445523,25.936608303950027,23.98304205808369,23.831444931815547,23.933882105520357,26.361157617673552,26.227854281040713,26.257281450921774,26.10930672039015,25.66211154926203,25.474279800187496,26.544097567322545,26.522888535552223,26.31857743868893,26.38786917528721,26.114843094789126,26.146901266560228,25.09074652505834,24.666344340663773,24.66913419295006,26.22812381947055,25.817833609644712,25.723377920897445,26.128809939743867,26.25284786723164,26.139143380801606,26.883664776089464,26.4684634582518,26.675249828873916,25.529053209461207,24.602471387442048,24.820737058276652,25.48058531556525,25.50683399736992,26.11154119554478,26.479325749774457,26.353622680670775,26.48568678346219,26.08213856606055,25.574266067633793,26.053776401826337,26.034758943615184,25.638980285015688,25.61016053157262,26.149477089866725,25.963392134031963,26.272962829528314,25.47899542144635,25.52357773132703,25.971634851269418,26.35544683801142,24.507412436773734,25.041868534065994,25.54419709429013,24.496282022531283,23.150150802852078
9,P0C0L4,22.2683263909163,22.351135010883095,-0.08280861996679434,0.6806870519140037,30,42,0.7179684982202477,22.626507383073967,22.926088641741615,23.256282310466435,22.475740990919817,21.467720020306295,21.381608961260078,22.079455506618316,21.631030488647628,21.880411554283597,21.58040914014339,21.21390796417196,21.561227161559003,23.556833473624017,23.006731501001113,22.866154554488315,22.31973180923169,22.406503409569414,22.0674006658677,20.616499115058545,20.10179887998681,20.00690795992822,21.922847599339295,21.36716969944621,21.41145228107069,22.67496520488761,21.57603423298084,21.220744295815116,22.40862231579232,21.661155270620444,21.191417466009582,23.1265940702105,22.682486679958554,22.699590122230774,23.047868381504856,22.274210075401257,22.548998066119207,23.0860731069046,22.46331560365706,22.312848812075803,23.22303204612656,22.962759775127722,22.88982332882595,22.080059727814277,21.43806815231667,21.459809629051858,22.663625341447,21.0428908654963,21.969913109517123,23.715701269350163,22.82645600685156,23.09464803390093,23.40573642762962,22.657220765055534,22.67846873591195,24.163838400938673,23.046795433854577,23.431798277483793,23.234891948433717,22.476789458585444,22.37122014185063,23.07949519243443,22.251229746760085,22.555569849062223,22.889677035752516,22.160111413202664,22.43778941072611,23.232009621484625,21.14710254108647,21.43210663889405,23.212372478043466,22.572479471637106,22.28862713395283
