child,parent
A0M8Q6,R-HSA-166663
A0M8Q6,R-HSA-173623
A0M8Q6,R-HSA-198933
A0M8Q6,R-HSA-202733
A0M8Q6,R-HSA-2029481
A0M8Q6,R-HSA-2029481
A0M8Q6,R-HSA-2029482
A0M8Q6,R-HSA-2029485
A0M8Q6,R-HSA-2168880
A0M8Q6,R-HSA-2454202
A0M8Q6,R-HSA-2454202
A0M8Q6,R-HSA-2730905
A0M8Q6,R-HSA-2730905
A0M8Q6,R-HSA-2871796
A0M8Q6,R-HSA-2871809
A0M8Q6,R-HSA-2871809
A0M8Q6,R-HSA-2871837
A0M8Q6,R-HSA-5690714
A0M8Q6,R-HSA-9664323
A0M8Q6,R-HSA-9664323
A0M8Q6,R-HSA-9664422
A0M8Q6,R-HSA-9664422
A0M8Q6,R-HSA-9679191
A0M8Q6,R-HSA-977606
A0M8Q6,R-HSA-983695
A0M8Q6,R-HSA-983695
A0MZ66,R-HSA-437239
O00194,R-HSA-114608
O00194,R-HSA-8873719
O00194,R-HSA-8876198
O00391,R-HSA-114608
O00391,R-HSA-381426
O00391,R-HSA-6798695
O00391,R-HSA-8957275
O00469,R-HSA-1650814
O00499,R-HSA-8856828
O00571,R-HSA-6798695
O00757,R-HSA-70263
O14773,R-HSA-381038
O14786,R-HSA-194306
O14786,R-HSA-376176
O14786,R-HSA-399954
O14786,R-HSA-399955
O14786,R-HSA-399955
O14786,R-HSA-399956
O14786,R-HSA-399956
O14786,R-HSA-445144
O14786,R-HSA-447041
O14786,R-HSA-9694614
O14791,R-HSA-2168880
O14791,R-HSA-381426
O14791,R-HSA-8957275
O14818,R-HSA-1169091
O14818,R-HSA-1234176
O14818,R-HSA-1236974
O14818,R-HSA-1236978
O14818,R-HSA-174084
O14818,R-HSA-174113
O14818,R-HSA-174154
O14818,R-HSA-174178
O14818,R-HSA-174184
O14818,R-HSA-180534
O14818,R-HSA-180585
O14818,R-HSA-187577
O14818,R-HSA-195253
O14818,R-HSA-202424
O14818,R-HSA-211733
O14818,R-HSA-2467813
O14818,R-HSA-2871837
O14818,R-HSA-349425
O14818,R-HSA-350562
O14818,R-HSA-382556
O14818,R-HSA-450408
O14818,R-HSA-4608870
O14818,R-HSA-4641257
O14818,R-HSA-4641258
O14818,R-HSA-5358346
O14818,R-HSA-5362768
O14818,R-HSA-5607761
O14818,R-HSA-5607764
O14818,R-HSA-5610780
O14818,R-HSA-5610783
O14818,R-HSA-5610785
O14818,R-HSA-5632684
O14818,R-HSA-5658442
O14818,R-HSA-5668541
O14818,R-HSA-5676590
O14818,R-HSA-5678895
O14818,R-HSA-5687128
O14818,R-HSA-5689603
O14818,R-HSA-5689880
O14818,R-HSA-68867
O14818,R-HSA-68949
O14818,R-HSA-69017
O14818,R-HSA-69481
O14818,R-HSA-69601
O14818,R-HSA-75815
O14818,R-HSA-8852276
O14818,R-HSA-8854050
O14818,R-HSA-8939236
O14818,R-HSA-8939902
O14818,R-HSA-8939902
O14818,R-HSA-8941858
O14818,R-HSA-8948751
O14818,R-HSA-8951664
O14818,R-HSA-9010553
O14818,R-HSA-9020702
O14818,R-HSA-9604323
O14818,R-HSA-9755511
O14818,R-HSA-9762114
O14818,R-HSA-983168
O14841,R-HSA-174403
O14841,R-HSA-5578998
O14950,R-HSA-3928663
O14950,R-HSA-416572
O14950,R-HSA-445355
O14950,R-HSA-5625740
O14950,R-HSA-5625900
O14950,R-HSA-5627117
O14950,R-HSA-5627123
O14950,R-HSA-5627123
O15143,R-HSA-2029482
O15143,R-HSA-2029482
O15143,R-HSA-3928662
O15143,R-HSA-5663213
O15143,R-HSA-5663213
O15143,R-HSA-9664422
O15143,R-HSA-9664422
O15145,R-HSA-2029482
O15145,R-HSA-2029482
O15145,R-HSA-3928662
O15145,R-HSA-5663213
O15145,R-HSA-5663213
O15145,R-HSA-8856828
O15145,R-HSA-9664422
O15145,R-HSA-9664422
O15511,R-HSA-2029482
O15511,R-HSA-2029482
O15511,R-HSA-3928662
O15511,R-HSA-5663213
O15511,R-HSA-5663213
O15511,R-HSA-6798695
O15511,R-HSA-8856828
O15511,R-HSA-9664422
O15511,R-HSA-9664422
O43175,R-HSA-977347
O43488,R-HSA-5423646
O43493,R-HSA-381426
O43493,R-HSA-432722
O43493,R-HSA-6811440
O43493,R-HSA-8856825
O43493,R-HSA-8856828
O43493,R-HSA-8957275
O43707,R-HSA-114608
O43707,R-HSA-373753
O43708,R-HSA-156590
O43708,R-HSA-204174
O43708,R-HSA-8963684
O43790,R-HSA-6805567
O43790,R-HSA-6809371
O60218,R-HSA-975634
O60361,R-HSA-499943
O60664,R-HSA-163560
O60664,R-HSA-6811440
O60664,R-HSA-9613354
O60664,R-HSA-9613829
O60664,R-HSA-9615710
O60664,R-HSA-9706019
O60701,R-HSA-173599
O60763,R-HSA-162658
O60763,R-HSA-204005
O60763,R-HSA-6807878
O75083,R-HSA-114608
O75144,R-HSA-388841
O75369,R-HSA-1169408
O75594,R-HSA-6798695
O75594,R-HSA-6803157
O75636,R-HSA-166662
O75636,R-HSA-166663
O75636,R-HSA-2855086
O75828,R-HSA-211945
O75874,R-HSA-2978092
O75874,R-HSA-389542
O75874,R-HSA-6798695
O75874,R-HSA-9033241
O75874,R-HSA-9033241
O75874,R-HSA-9759194
O75891,R-HSA-196757
O76009,R-HSA-6805567
O76009,R-HSA-6809371
O76013,R-HSA-6805567
O76013,R-HSA-6809371
O94788,R-HSA-5365859
O95154,R-HSA-5423646
O95210,R-HSA-6798695
O95210,R-HSA-8980692
O95210,R-HSA-9013404
O95210,R-HSA-9013405
O95210,R-HSA-9013408
O95210,R-HSA-9013423
O95399,R-HSA-375276
O95399,R-HSA-416476
O95445,R-HSA-975634
O95497,R-HSA-163125
O95497,R-HSA-199220
O95497,R-HSA-6798695
O95633,R-HSA-2473224
O95633,R-HSA-381426
O95633,R-HSA-8957275
O95678,R-HSA-6805567
O95678,R-HSA-6809371
O95954,R-HSA-70921
O96013,R-HSA-428540
O96013,R-HSA-9013148
O96013,R-HSA-9013149
O96013,R-HSA-9013404
