,source,target,value,type,source layer,target layer,normalized value
0,KVD20,Initial triggering of complement,0.002230053689532033,0,0,1,0.0025317878198877763
1,KVD20,Initial triggering of complement,0.002603667685343283,1,0,1,0.00295595310719663
2,KVD20,Regulation of Complement cascade,0.002230053689532033,0,0,1,0.0025317878198877763
3,KVD20,Regulation of Complement cascade,0.002603667685343283,1,0,1,0.00295595310719663
4,KVD20,FCGR activation,0.002230053689532033,0,0,1,0.0025317878198877763
5,KVD20,FCGR activation,0.002603667685343283,1,0,1,0.00295595310719663
6,KVD20,Regulation of actin dynamics for phagocytic cup formation,0.002230053689532033,0,0,1,0.0025317878198877763
7,KVD20,Regulation of actin dynamics for phagocytic cup formation,0.002603667685343283,1,0,1,0.00295595310719663
8,KVD20,Role of phospholipids in phagocytosis,0.002230053689532033,0,0,1,0.0025317878198877763
9,KVD20,Role of phospholipids in phagocytosis,0.002603667685343283,1,0,1,0.00295595310719663
10,KVD20,Role of LAT2/NTAL/LAB on calcium mobilization,0.002230053689532033,0,0,1,0.0025317878198877763
11,KVD20,Role of LAT2/NTAL/LAB on calcium mobilization,0.002603667685343283,1,0,1,0.00295595310719663
12,KVD20,FCERI mediated MAPK activation,0.002230053689532033,0,0,1,0.0025317878198877763
13,KVD20,FCERI mediated MAPK activation,0.002603667685343283,1,0,1,0.00295595310719663
14,KVD20,FCERI mediated Ca+2 mobilization,0.002230053689532033,0,0,1,0.0025317878198877763
15,KVD20,FCERI mediated Ca+2 mobilization,0.002603667685343283,1,0,1,0.00295595310719663
16,KVD20,FCERI mediated NF-kB activation,0.002230053689532033,0,0,1,0.0025317878198877763
17,KVD20,FCERI mediated NF-kB activation,0.002603667685343283,1,0,1,0.00295595310719663
18,KVD20,Parasite infection,0.002230053689532033,0,0,1,0.0025317878198877763
19,KVD20,Parasite infection,0.002603667685343283,1,0,1,0.00295595310719663
20,KVD20,Leishmania parasite growth and survival,0.002230053689532033,0,0,1,0.0025317878198877763
21,KVD20,Leishmania parasite growth and survival,0.002603667685343283,1,0,1,0.00295595310719663
22,KVD20,Potential therapeutics for SARS,0.002230053689532033,0,0,1,0.0025317878198877763
23,KVD20,Potential therapeutics for SARS,0.002603667685343283,1,0,1,0.00295595310719663
24,KVD20,CD22 mediated BCR regulation,0.002230053689532033,0,0,1,0.0025317878198877763
25,KVD20,CD22 mediated BCR regulation,0.002603667685343283,1,0,1,0.00295595310719663
26,KVD20,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.002230053689532033,0,0,1,0.0025317878198877763
27,KVD20,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.002603667685343283,1,0,1,0.00295595310719663
28,KVD20,Cell surface interactions at the vascular wall,0.002230053689532033,0,0,1,0.0025317878198877763
29,KVD20,Cell surface interactions at the vascular wall,0.002603667685343283,1,0,1,0.00295595310719663
30,KVD20,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0.002230053689532033,0,0,1,0.0025317878198877763
31,KVD20,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0.002603667685343283,1,0,1,0.00295595310719663
32,KVD20,Scavenging of heme from plasma,0.002230053689532033,0,0,1,0.0025317878198877763
33,KVD20,Scavenging of heme from plasma,0.002603667685343283,1,0,1,0.00295595310719663
34,IGLC7,Initial triggering of complement,0.002854448257870346,0,0,1,0.003240665175775453
35,IGLC7,Initial triggering of complement,0.001969415316924992,1,0,1,0.0022358841561063215
36,IGLC7,Regulation of Complement cascade,0.002854448257870346,0,0,1,0.003240665175775453
37,IGLC7,Regulation of Complement cascade,0.001969415316924992,1,0,1,0.0022358841561063215
38,IGLC7,FCGR activation,0.002854448257870346,0,0,1,0.003240665175775453
39,IGLC7,FCGR activation,0.001969415316924992,1,0,1,0.0022358841561063215
40,IGLC7,Regulation of actin dynamics for phagocytic cup formation,0.002854448257870346,0,0,1,0.003240665175775453
41,IGLC7,Regulation of actin dynamics for phagocytic cup formation,0.001969415316924992,1,0,1,0.0022358841561063215
42,IGLC7,Role of phospholipids in phagocytosis,0.002854448257870346,0,0,1,0.003240665175775453
43,IGLC7,Role of phospholipids in phagocytosis,0.001969415316924992,1,0,1,0.0022358841561063215
44,IGLC7,Role of LAT2/NTAL/LAB on calcium mobilization,0.002854448257870346,0,0,1,0.003240665175775453
45,IGLC7,Role of LAT2/NTAL/LAB on calcium mobilization,0.001969415316924992,1,0,1,0.0022358841561063215
46,IGLC7,FCERI mediated MAPK activation,0.002854448257870346,0,0,1,0.003240665175775453
47,IGLC7,FCERI mediated MAPK activation,0.001969415316924992,1,0,1,0.0022358841561063215
48,IGLC7,FCERI mediated Ca+2 mobilization,0.002854448257870346,0,0,1,0.003240665175775453
49,IGLC7,FCERI mediated Ca+2 mobilization,0.001969415316924992,1,0,1,0.0022358841561063215
50,IGLC7,FCERI mediated NF-kB activation,0.002854448257870346,0,0,1,0.003240665175775453
51,IGLC7,FCERI mediated NF-kB activation,0.001969415316924992,1,0,1,0.0022358841561063215
52,IGLC7,Parasite infection,0.002854448257870346,0,0,1,0.003240665175775453
53,IGLC7,Parasite infection,0.001969415316924992,1,0,1,0.0022358841561063215
54,IGLC7,Leishmania parasite growth and survival,0.002854448257870346,0,0,1,0.003240665175775453
55,IGLC7,Leishmania parasite growth and survival,0.001969415316924992,1,0,1,0.0022358841561063215
56,IGLC7,Potential therapeutics for SARS,0.002854448257870346,0,0,1,0.003240665175775453
57,IGLC7,Potential therapeutics for SARS,0.001969415316924992,1,0,1,0.0022358841561063215
58,IGLC7,CD22 mediated BCR regulation,0.002854448257870346,0,0,1,0.003240665175775453
59,IGLC7,CD22 mediated BCR regulation,0.001969415316924992,1,0,1,0.0022358841561063215
60,IGLC7,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.002854448257870346,0,0,1,0.003240665175775453
61,IGLC7,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.001969415316924992,1,0,1,0.0022358841561063215
62,IGLC7,Cell surface interactions at the vascular wall,0.002854448257870346,0,0,1,0.003240665175775453
63,IGLC7,Cell surface interactions at the vascular wall,0.001969415316924992,1,0,1,0.0022358841561063215
64,IGLC7,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0.002854448257870346,0,0,1,0.003240665175775453
65,IGLC7,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0.001969415316924992,1,0,1,0.0022358841561063215
66,IGLC7,Scavenging of heme from plasma,0.002854448257870346,0,0,1,0.003240665175775453
67,IGLC7,Scavenging of heme from plasma,0.001969415316924992,1,0,1,0.0022358841561063215
68,FCN3,Initial triggering of complement,0.0005266764158255769,0,0,1,0.0005979375926546236
69,FCN3,Initial triggering of complement,0.0005148619833085154,1,0,1,0.0005845246257444595
70,CERU,Metal ion SLC transporters,0.00870237866844616,0,0,1,0.009879841198552772
71,CERU,Metal ion SLC transporters,0.008723845529212777,1,0,1,0.009904212601302071
72,CERU,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages),0.00870237866844616,0,0,1,0.009879841198552772
73,CERU,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages),0.008723845529212777,1,0,1,0.009904212601302071
74,CERU,Defective CP causes aceruloplasminemia (ACERULOP),0.00870237866844616,0,0,1,0.009879841198552772
75,CERU,Defective CP causes aceruloplasminemia (ACERULOP),0.008723845529212777,1,0,1,0.009904212601302071
76,CERU,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.00870237866844616,0,0,1,0.009879841198552772
77,CERU,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.008723845529212777,1,0,1,0.009904212601302071
78,CERU,Post-translational protein phosphorylation,0.00870237866844616,0,0,1,0.009879841198552772
79,CERU,Post-translational protein phosphorylation,0.008723845529212777,1,0,1,0.009904212601302071
