,source,target,value,type,source layer,target layer,normalized value
0,KVD20,Initial triggering of complement,0.13341617889045446,0,0,1,0.14041990644578578
1,KVD20,Initial triggering of complement,0.13151090763225828,1,0,1,0.13841461732676957
2,KVD20,Regulation of Complement cascade,0.13341617889045446,0,0,1,0.14041990644578578
3,KVD20,Regulation of Complement cascade,0.13151090763225828,1,0,1,0.13841461732676957
4,KVD20,FCGR activation,0.13341617889045446,0,0,1,0.14041990644578578
5,KVD20,FCGR activation,0.13151090763225828,1,0,1,0.13841461732676957
6,KVD20,Regulation of actin dynamics for phagocytic cup formation,0.13341617889045446,0,0,1,0.14041990644578578
7,KVD20,Regulation of actin dynamics for phagocytic cup formation,0.13151090763225828,1,0,1,0.13841461732676957
8,KVD20,Role of phospholipids in phagocytosis,0.13341617889045446,0,0,1,0.14041990644578578
9,KVD20,Role of phospholipids in phagocytosis,0.13151090763225828,1,0,1,0.13841461732676957
10,KVD20,Role of LAT2/NTAL/LAB on calcium mobilization,0.13341617889045446,0,0,1,0.14041990644578578
11,KVD20,Role of LAT2/NTAL/LAB on calcium mobilization,0.13151090763225828,1,0,1,0.13841461732676957
12,KVD20,FCERI mediated MAPK activation,0.13341617889045446,0,0,1,0.14041990644578578
13,KVD20,FCERI mediated MAPK activation,0.13151090763225828,1,0,1,0.13841461732676957
14,KVD20,FCERI mediated Ca+2 mobilization,0.13341617889045446,0,0,1,0.14041990644578578
15,KVD20,FCERI mediated Ca+2 mobilization,0.13151090763225828,1,0,1,0.13841461732676957
16,KVD20,FCERI mediated NF-kB activation,0.13341617889045446,0,0,1,0.14041990644578578
17,KVD20,FCERI mediated NF-kB activation,0.13151090763225828,1,0,1,0.13841461732676957
18,KVD20,Parasite infection,0.13341617889045446,0,0,1,0.14041990644578578
19,KVD20,Parasite infection,0.13151090763225828,1,0,1,0.13841461732676957
20,KVD20,Leishmania parasite growth and survival,0.13341617889045446,0,0,1,0.14041990644578578
21,KVD20,Leishmania parasite growth and survival,0.13151090763225828,1,0,1,0.13841461732676957
22,KVD20,Potential therapeutics for SARS,0.13341617889045446,0,0,1,0.14041990644578578
23,KVD20,Potential therapeutics for SARS,0.13151090763225828,1,0,1,0.13841461732676957
24,KVD20,CD22 mediated BCR regulation,0.13341617889045446,0,0,1,0.14041990644578578
25,KVD20,CD22 mediated BCR regulation,0.13151090763225828,1,0,1,0.13841461732676957
26,KVD20,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.13341617889045446,0,0,1,0.14041990644578578
27,KVD20,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.13151090763225828,1,0,1,0.13841461732676957
28,KVD20,Cell surface interactions at the vascular wall,0.13341617889045446,0,0,1,0.14041990644578578
29,KVD20,Cell surface interactions at the vascular wall,0.13151090763225828,1,0,1,0.13841461732676957
30,KVD20,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0.13341617889045446,0,0,1,0.14041990644578578
31,KVD20,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0.13151090763225828,1,0,1,0.13841461732676957
32,KVD20,Scavenging of heme from plasma,0.13341617889045446,0,0,1,0.14041990644578578
33,KVD20,Scavenging of heme from plasma,0.13151090763225828,1,0,1,0.13841461732676957
34,IGLC7,Initial triggering of complement,0.09087685738231285,0,0,1,0.09564746882901767
35,IGLC7,Initial triggering of complement,0.09065911511481169,1,0,1,0.09541829610734265
36,IGLC7,Regulation of Complement cascade,0.09087685738231285,0,0,1,0.09564746882901767
37,IGLC7,Regulation of Complement cascade,0.09065911511481169,1,0,1,0.09541829610734265
38,IGLC7,FCGR activation,0.09087685738231285,0,0,1,0.09564746882901767
39,IGLC7,FCGR activation,0.09065911511481169,1,0,1,0.09541829610734265
