,source,target,value,type,source layer,target layer,normalized value
0,IGLC7,Initial triggering of complement,0.00594463904077808,0,0,1,0.006414312241677825
1,IGLC7,Initial triggering of complement,0.0057582416319443535,1,0,1,0.006213187972719233
2,IGLC7,Regulation of Complement cascade,0.00594463904077808,0,0,1,0.006414312241677825
3,IGLC7,Regulation of Complement cascade,0.0057582416319443535,1,0,1,0.006213187972719233
4,IGLC7,FCGR activation,0.00594463904077808,0,0,1,0.006414312241677825
5,IGLC7,FCGR activation,0.0057582416319443535,1,0,1,0.006213187972719233
6,IGLC7,Regulation of actin dynamics for phagocytic cup formation,0.00594463904077808,0,0,1,0.006414312241677825
7,IGLC7,Regulation of actin dynamics for phagocytic cup formation,0.0057582416319443535,1,0,1,0.006213187972719233
8,IGLC7,Role of phospholipids in phagocytosis,0.00594463904077808,0,0,1,0.006414312241677825
9,IGLC7,Role of phospholipids in phagocytosis,0.0057582416319443535,1,0,1,0.006213187972719233
10,IGLC7,Role of LAT2/NTAL/LAB on calcium mobilization,0.00594463904077808,0,0,1,0.006414312241677825
11,IGLC7,Role of LAT2/NTAL/LAB on calcium mobilization,0.0057582416319443535,1,0,1,0.006213187972719233
12,IGLC7,FCERI mediated MAPK activation,0.00594463904077808,0,0,1,0.006414312241677825
13,IGLC7,FCERI mediated MAPK activation,0.0057582416319443535,1,0,1,0.006213187972719233
14,IGLC7,FCERI mediated Ca+2 mobilization,0.00594463904077808,0,0,1,0.006414312241677825
15,IGLC7,FCERI mediated Ca+2 mobilization,0.0057582416319443535,1,0,1,0.006213187972719233
16,IGLC7,FCERI mediated NF-kB activation,0.00594463904077808,0,0,1,0.006414312241677825
17,IGLC7,FCERI mediated NF-kB activation,0.0057582416319443535,1,0,1,0.006213187972719233
18,IGLC7,Parasite infection,0.00594463904077808,0,0,1,0.006414312241677825
19,IGLC7,Parasite infection,0.0057582416319443535,1,0,1,0.006213187972719233
20,IGLC7,Leishmania parasite growth and survival,0.00594463904077808,0,0,1,0.006414312241677825
21,IGLC7,Leishmania parasite growth and survival,0.0057582416319443535,1,0,1,0.006213187972719233
22,IGLC7,Potential therapeutics for SARS,0.00594463904077808,0,0,1,0.006414312241677825
23,IGLC7,Potential therapeutics for SARS,0.0057582416319443535,1,0,1,0.006213187972719233
24,IGLC7,CD22 mediated BCR regulation,0.00594463904077808,0,0,1,0.006414312241677825
