UniProt_id,Reactome_id,URL,Description,Evidence Code,Species
A0M8Q6,R-HSA-166663,https://reactome.org/PathwayBrowser/#/R-HSA-166663,Initial triggering of complement,TAS,Homo sapiens
A0M8Q6,R-HSA-173623,https://reactome.org/PathwayBrowser/#/R-HSA-173623,Classical antibody-mediated complement activation,TAS,Homo sapiens
A0M8Q6,R-HSA-198933,https://reactome.org/PathwayBrowser/#/R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,TAS,Homo sapiens
A0M8Q6,R-HSA-202733,https://reactome.org/PathwayBrowser/#/R-HSA-202733,Cell surface interactions at the vascular wall,TAS,Homo sapiens
A0M8Q6,R-HSA-2029481,https://reactome.org/PathwayBrowser/#/R-HSA-2029481,FCGR activation,IEA,Homo sapiens
A0M8Q6,R-HSA-2029481,https://reactome.org/PathwayBrowser/#/R-HSA-2029481,FCGR activation,TAS,Homo sapiens
A0M8Q6,R-HSA-2029482,https://reactome.org/PathwayBrowser/#/R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,TAS,Homo sapiens
A0M8Q6,R-HSA-2029485,https://reactome.org/PathwayBrowser/#/R-HSA-2029485,Role of phospholipids in phagocytosis,TAS,Homo sapiens
A0M8Q6,R-HSA-2168880,https://reactome.org/PathwayBrowser/#/R-HSA-2168880,Scavenging of heme from plasma,TAS,Homo sapiens
A0M8Q6,R-HSA-2454202,https://reactome.org/PathwayBrowser/#/R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,TAS,Homo sapiens
A0M8Q6,R-HSA-2454202,https://reactome.org/PathwayBrowser/#/R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,IEA,Homo sapiens
A0M8Q6,R-HSA-2730905,https://reactome.org/PathwayBrowser/#/R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,TAS,Homo sapiens
A0M8Q6,R-HSA-2730905,https://reactome.org/PathwayBrowser/#/R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,IEA,Homo sapiens
A0M8Q6,R-HSA-2871796,https://reactome.org/PathwayBrowser/#/R-HSA-2871796,FCERI mediated MAPK activation,TAS,Homo sapiens
A0M8Q6,R-HSA-2871809,https://reactome.org/PathwayBrowser/#/R-HSA-2871809,FCERI mediated Ca+2 mobilization,TAS,Homo sapiens
A0M8Q6,R-HSA-2871809,https://reactome.org/PathwayBrowser/#/R-HSA-2871809,FCERI mediated Ca+2 mobilization,IEA,Homo sapiens
A0M8Q6,R-HSA-2871837,https://reactome.org/PathwayBrowser/#/R-HSA-2871837,FCERI mediated NF-kB activation,TAS,Homo sapiens
A0M8Q6,R-HSA-5690714,https://reactome.org/PathwayBrowser/#/R-HSA-5690714,CD22 mediated BCR regulation,TAS,Homo sapiens
A0M8Q6,R-HSA-9664323,https://reactome.org/PathwayBrowser/#/R-HSA-9664323,FCGR3A-mediated IL10 synthesis,TAS,Homo sapiens
A0M8Q6,R-HSA-9664323,https://reactome.org/PathwayBrowser/#/R-HSA-9664323,FCGR3A-mediated IL10 synthesis,IEA,Homo sapiens
A0M8Q6,R-HSA-9664422,https://reactome.org/PathwayBrowser/#/R-HSA-9664422,FCGR3A-mediated phagocytosis,TAS,Homo sapiens
A0M8Q6,R-HSA-9664422,https://reactome.org/PathwayBrowser/#/R-HSA-9664422,FCGR3A-mediated phagocytosis,IEA,Homo sapiens
A0M8Q6,R-HSA-9679191,https://reactome.org/PathwayBrowser/#/R-HSA-9679191,Potential therapeutics for SARS,TAS,Homo sapiens
A0M8Q6,R-HSA-977606,https://reactome.org/PathwayBrowser/#/R-HSA-977606,Regulation of Complement cascade,TAS,Homo sapiens
A0M8Q6,R-HSA-983695,https://reactome.org/PathwayBrowser/#/R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,TAS,Homo sapiens
A0M8Q6,R-HSA-983695,https://reactome.org/PathwayBrowser/#/R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,IEA,Homo sapiens
A0MZ66,R-HSA-437239,https://reactome.org/PathwayBrowser/#/R-HSA-437239,Recycling pathway of L1,IEA,Homo sapiens
O00194,R-HSA-114608,https://reactome.org/PathwayBrowser/#/R-HSA-114608,Platelet degranulation ,TAS,Homo sapiens
O00194,R-HSA-8873719,https://reactome.org/PathwayBrowser/#/R-HSA-8873719,RAB geranylgeranylation,TAS,Homo sapiens
O00194,R-HSA-8876198,https://reactome.org/PathwayBrowser/#/R-HSA-8876198,RAB GEFs exchange GTP for GDP on RABs,TAS,Homo sapiens
O00391,R-HSA-114608,https://reactome.org/PathwayBrowser/#/R-HSA-114608,Platelet degranulation ,TAS,Homo sapiens
O00391,R-HSA-381426,https://reactome.org/PathwayBrowser/#/R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),TAS,Homo sapiens
O00391,R-HSA-6798695,https://reactome.org/PathwayBrowser/#/R-HSA-6798695,Neutrophil degranulation,TAS,Homo sapiens
O00391,R-HSA-8957275,https://reactome.org/PathwayBrowser/#/R-HSA-8957275,Post-translational protein phosphorylation,TAS,Homo sapiens
O00469,R-HSA-1650814,https://reactome.org/PathwayBrowser/#/R-HSA-1650814,Collagen biosynthesis and modifying enzymes,TAS,Homo sapiens
O00499,R-HSA-8856828,https://reactome.org/PathwayBrowser/#/R-HSA-8856828,Clathrin-mediated endocytosis,TAS,Homo sapiens
O00571,R-HSA-6798695,https://reactome.org/PathwayBrowser/#/R-HSA-6798695,Neutrophil degranulation,TAS,Homo sapiens
O00757,R-HSA-70263,https://reactome.org/PathwayBrowser/#/R-HSA-70263,Gluconeogenesis,TAS,Homo sapiens
O14773,R-HSA-381038,https://reactome.org/PathwayBrowser/#/R-HSA-381038,XBP1(S) activates chaperone genes,TAS,Homo sapiens
O14786,R-HSA-194306,https://reactome.org/PathwayBrowser/#/R-HSA-194306,Neurophilin interactions with VEGF and VEGFR,TAS,Homo sapiens
O14786,R-HSA-376176,https://reactome.org/PathwayBrowser/#/R-HSA-376176,Signaling by ROBO receptors,IEA,Homo sapiens
O14786,R-HSA-399954,https://reactome.org/PathwayBrowser/#/R-HSA-399954,Sema3A PAK dependent Axon repulsion,TAS,Homo sapiens
O14786,R-HSA-399955,https://reactome.org/PathwayBrowser/#/R-HSA-399955,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,IEA,Homo sapiens
O14786,R-HSA-399955,https://reactome.org/PathwayBrowser/#/R-HSA-399955,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,TAS,Homo sapiens
O14786,R-HSA-399956,https://reactome.org/PathwayBrowser/#/R-HSA-399956,CRMPs in Sema3A signaling,TAS,Homo sapiens
O14786,R-HSA-399956,https://reactome.org/PathwayBrowser/#/R-HSA-399956,CRMPs in Sema3A signaling,IEA,Homo sapiens
O14786,R-HSA-445144,https://reactome.org/PathwayBrowser/#/R-HSA-445144,Signal transduction by L1,TAS,Homo sapiens
O14786,R-HSA-447041,https://reactome.org/PathwayBrowser/#/R-HSA-447041,CHL1 interactions,IEA,Homo sapiens
O14786,R-HSA-9694614,https://reactome.org/PathwayBrowser/#/R-HSA-9694614,Attachment and Entry,TAS,Homo sapiens
O14791,R-HSA-2168880,https://reactome.org/PathwayBrowser/#/R-HSA-2168880,Scavenging of heme from plasma,TAS,Homo sapiens
O14791,R-HSA-381426,https://reactome.org/PathwayBrowser/#/R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),TAS,Homo sapiens
O14791,R-HSA-8957275,https://reactome.org/PathwayBrowser/#/R-HSA-8957275,Post-translational protein phosphorylation,TAS,Homo sapiens
O14818,R-HSA-1169091,https://reactome.org/PathwayBrowser/#/R-HSA-1169091,Activation of NF-kappaB in B cells,TAS,Homo sapiens
O14818,R-HSA-1234176,https://reactome.org/PathwayBrowser/#/R-HSA-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,TAS,Homo sapiens
O14818,R-HSA-1236974,https://reactome.org/PathwayBrowser/#/R-HSA-1236974,ER-Phagosome pathway,IEA,Homo sapiens
