,source,target,Unnamed: 0,value,type,source layer,target layer,normalized value,unique,fan_in,fan_out,fan_tot,nodes_in_SG,log(Nodes in SG),weighted_val_log
0,1433B,Activation of BH3-only proteins,3570.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
1,1433B,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,3608.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
2,1433B,FOXO-mediated transcription,3578.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
3,1433B,G2/M DNA damage checkpoint,3596.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
4,1433B,Paradoxical activation of RAF signaling by kinase inactive BRAF,3590.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
5,1433B,RAF/MAP kinase cascade,3580.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
6,1433B,RHO GTPase Effectors,3574.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
7,1433B,Rap1 signalling,3600.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
8,1433B,SARS-CoV-2 Infection,3598.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
9,1433B,Signaling by BRAF and RAF1 fusions,3588.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
10,1433B,Signaling by Hippo,3602.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
11,1433B,Signaling by MRAS-complex mutants,3594.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
12,1433B,Signaling by NTRK1 (TRKA),3572.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
13,1433B,Signaling by RAF1 mutants,3592.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
14,1433B,Signaling by RAS mutants,3582.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
15,1433B,Signaling by high-kinase activity BRAF mutants,3586.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
16,1433B,Signaling by moderate kinase activity BRAF mutants,3584.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
17,1433B,Transcriptional Regulation by TP53,3576.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
18,1433B,Translocation of SLC2A4 (GLUT4) to the plasma membrane,3606.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
19,1433B,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",3610.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
20,1433B,mTORC1-mediated signalling,3604.5,0.0004945811008734,0.5,0.0,1.0,0.00027087584564434997,True,0,21,21,51,5.672425341971495,7.412313746882129e-05
