,source,target,Unnamed: 0,value,type,source layer,target layer,normalized value,unique,fan_in,fan_out,fan_tot,nodes_in_SG,log(Nodes in SG),weighted_val_log
0,A1AG1,Neutrophil degranulation,1196.5,0.0042260875704912,0.5,0.0,1.0,0.0023958898728786,True,0,2,2,9,3.169925001442312,0.0013331821947107061
1,A1AG1,Platelet degranulation ,1194.5,0.0042260875704912,0.5,0.0,1.0,0.0023958898728786,True,0,2,2,9,3.169925001442312,0.0013331821947107061
2,A1AG2,Neutrophil degranulation,1686.5,0.0058251181856547,0.5,0.0,1.0,0.00330242604691445,True,0,2,2,9,3.169925001442312,0.0018376201906998677
3,A1AG2,Platelet degranulation ,1684.5,0.0058251181856547,0.5,0.0,1.0,0.00330242604691445,True,0,2,2,9,3.169925001442312,0.0018376201906998677
4,A2GL,Neutrophil degranulation,1190.5,0.0008748236675522,0.5,0.0,1.0,0.000495962549446,True,0,1,1,5,2.321928094887362,0.00037676604606252375
5,A2MG,HDL assembly,176.5,0.013778568465644299,0.5,0.0,1.0,0.00781146440980285,True,0,3,3,12,3.584962500721156,0.0038434344746625894
6,A2MG,Intrinsic Pathway of Fibrin Clot Formation,178.5,0.013778568465644299,0.5,0.0,1.0,0.00781146440980285,True,0,3,3,12,3.584962500721156,0.0038434344746625894
7,A2MG,Platelet degranulation ,174.5,0.013778568465644299,0.5,0.0,1.0,0.00781146440980285,True,0,3,3,12,3.584962500721156,0.0038434344746625894
8,ABC transporter disorders,Disorders of transmembrane transporters,2286.5,0.0051705750352248996,0.5,2.0,3.0,0.073560285038369,True,1,1,2,6,2.584962500721156,0.002000251467393591
9,ABC transporters in lipid homeostasis,ABC transporters in lipid homeostasis,2112.5,0.008712599806883,0.5,1.0,2.0,0.08247116028617141,False,2,2,4,5,2.321928094887362,0.003752312496699279
10,ABC transporters in lipid homeostasis,ABC-family proteins mediated transport,2210.5,0.0068139375635925,0.5,2.0,3.0,0.0969399314383446,True,2,2,4,5,2.321928094887362,0.0029346031768150197
11,ABC-family proteins mediated transport,Transport of small molecules,2394.5,0.0060950791268101,0.5,3.0,4.0,0.1424723520074088,True,1,1,2,5,2.321928094887362,0.0026250076995195564
12,ADIPO,AMPK inhibits chREBP transcriptional activation activity,1862.5,0.029345657715771703,0.5,0.0,1.0,0.0166368923883914,True,0,2,2,7,2.807354922057604,0.010453134188769865
13,ADIPO,Transcriptional regulation of white adipocyte differentiation,1860.5,0.029345657715771703,0.5,0.0,1.0,0.0166368923883914,True,0,2,2,7,2.807354922057604,0.010453134188769865
14,AMBP,Scavenging of heme from plasma,1192.5,0.0060109258106339995,0.5,0.0,1.0,0.00340776570198925,True,0,1,1,5,2.321928094887362,0.002588764838958371
15,AMPK inhibits chREBP transcriptional activation activity,AMPK inhibits chREBP transcriptional activation activity,2076.5,0.0096005112059167,0.5,1.0,2.0,0.090875894226983,False,2,2,4,5,2.321928094887362,0.004134715121909245
